ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.15,0.02,636.0,2.8,32.6,45.0,3.5,84.3,44.5,0.3
0.22,0.0,620.0,7.1,59.1,41.0,5.4,129.7,59.8,1.0
0.13,0.0,443.0,10.9,57.1,68.0,2.9,69.3,65.0,0.1
0.17,0.0,576.0,11.3,56.8,71.0,2.7,65.4,62.3,0.1
0.18,0.0,562.0,11.0,57.6,68.0,3.8,91.8,65.3,0.1
0.27,0.0,612.0,8.6,72.7,31.0,6.4,154.1,66.5,0.12
0.21,0.0,636.0,5.5,63.6,27.0,3.7,88.5,58.6,0.1
0.21,0.0,624.0,10.0,63.8,49.0,4.0,95.0,62.6,1.0
0.22,0.0,603.0,11.8,65.1,56.0,5.0,119.5,62.0,0.1
0.2,0.0,654.0,3.9,46.6,36.0,4.4,106.7,46.8,0.1
0.19,0.0,584.0,11.4,62.3,59.0,3.9,94.8,65.0,0.01
0.22,0.0,636.0,15.0,73.3,54.0,4.2,101.4,71.0,0.01
0.21,0.0,661.0,2.4,50.1,20.0,5.0,120.9,48.2,0.1
0.21,0.0,661.0,2.4,50.1,20.0,5.0,120.9,48.2,0.1
0.19,0.0,584.0,11.4,62.3,59.0,3.9,94.8,65.0,0.01
0.18,0.0,577.0,13.6,61.0,75.0,2.6,62.7,63.8,1.0
0.25,0.0,617.0,7.8,65.4,36.0,5.7,137.3,61.1,0.1
0.23,0.0,625.0,6.5,57.3,41.0,5.6,135.2,61.9,0.04
0.24,0.0,632.0,3.3,64.5,16.0,5.1,121.8,61.1,0.1
0.26,0.0,656.0,4.8,65.8,22.0,5.7,136.3,67.4,0.1
0.23,0.0,637.0,6.3,60.9,34.0,4.2,100.1,66.69276448265181,0.1
0.23,0.0,637.0,6.3,60.9,34.0,4.2,100.1,66.69276448265181,0.12
0.19,0.0,655.0,3.0,45.5,29.0,5.5,132.6,46.1,0.1
0.25,0.0,647.0,3.5,66.7,16.0,5.6,135.5,63.2,0.01
0.27,0.0,611.0,4.9,64.8,55.74606916779595,6.3,152.3,67.8,1.0
0.2,0.03,651.0,4.1,46.4,38.0,3.8,92.3,45.6,0.1
0.23,0.0,647.0,8.2,66.8,37.0,3.7,89.1,63.4,0.1
0.2,0.0,662.0,3.0,44.0,31.0,3.5,83.8,46.9,51000.0
0.2,0.0,662.0,3.0,44.0,31.0,3.5,83.8,46.9,31359.0
0.27,0.0,652.0,6.7,73.1,24.0,5.2,125.0,67.3,0.2
0.27,0.0,652.0,6.7,73.1,24.0,5.2,125.0,67.3,0.2
0.2,0.0,587.0,11.5,57.4,71.0,4.2,100.8,67.8,1.0
0.2,0.0,587.0,11.5,57.4,71.0,4.2,100.8,67.8,1.0
0.3,0.0,640.0,8.2,74.8,28.0,6.3,151.8,67.5,60.0
0.21,0.0,612.0,11.6,61.5,62.0,6.1,147.3,62.3,0.1
0.15,0.0,520.0,12.1,55.7,80.0,4.4,105.0,66.69276448265181,0.21
0.2,0.0,609.0,13.0,60.5,72.0,7.0,167.9,61.0,4.0
0.05,0.0,198.0,11.9,57.0,75.0,4.5,108.0,61.2,0.01
0.27,0.0,611.0,10.9,70.6,43.0,8.7,208.8,68.7,1.0
0.07,0.0,243.0,10.2,55.7,68.0,3.3,78.4,64.2,0.01
0.04,0.06,182.0,12.1,57.3,75.0,2.6,62.3,67.6,1800.0
0.09,0.0,314.0,12.4,59.3,72.0,3.7,89.9,66.4,3.5
0.07,0.0,211.0,10.7,57.6,66.0,4.7,112.1,62.3,0.5
0.08,0.04,301.0,12.9,57.2,81.0,2.5,60.6,62.2,3.0
0.17,0.0,771.0,10.2,61.7,55.0,6.0,143.5,63.7,0.5
0.15,0.02,586.0,8.9,44.3,89.0,5.6,135.3,47.7,1.0
0.16,0.0,505.0,11.7,58.0,71.0,5.2,124.5,60.8,0.01
0.12,0.01,404.0,11.8,55.1,79.0,4.4,106.4,61.6,0.01
0.09,0.0,297.0,10.6,55.6,70.0,4.1,97.8,60.5,3.0
0.1,0.0,379.0,11.9,56.9,75.0,2.8,67.5,66.0,1.0
0.23,0.0,567.0,10.5,70.2,42.0,6.9,165.4,69.3,5.0
0.23,0.0,616.0,9.7,56.2,63.0,12.5,300.1,58.2,0.2
0.01,0.0,97.0,14.0,55.6,93.0,3.0,72.3,64.8,0.01
0.01,0.0,97.0,14.0,55.6,93.0,3.0,72.3,64.8,0.01
0.04,0.01,146.0,12.4,56.8,78.0,5.1,122.2,62.8,0.1
0.04,0.01,146.0,12.4,56.8,78.0,5.1,122.2,62.8,0.01
0.02,0.02,152.0,13.6,54.0,95.0,2.1,49.7,63.9,0.01
0.04,0.0,188.0,10.9,52.1,82.0,6.7,161.7,61.8,1.0
0.07,0.02,243.0,11.5,55.8,76.0,6.3,151.0,59.5,0.02
0.06,0.02,220.0,10.6,51.7,81.0,8.9,213.8,60.4,0.2
0.11,0.03,423.0,11.4,50.6,90.0,6.4,154.3,62.1,0.25
0.05,0.0,172.0,11.8,56.3,76.0,7.4,177.8,62.3,0.5
0.07,0.0,247.0,10.6,55.8,70.0,4.4,106.4,60.1,415.0
0.06,0.02,220.0,10.6,51.7,81.0,8.9,213.8,60.4,0.1
0.03,0.11,174.0,13.1,54.1,92.0,3.3,80.2,64.5,2.0
0.07,0.0,247.0,10.6,55.8,70.0,4.4,106.4,60.1,238.0
