ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.19,0.0,601.0,8.7,59.3,50.0,3.9,94.3,61.3,0.01
0.22,0.0,636.0,14.0,71.2,54.0,4.4,104.6,68.8,0.01
0.26,0.0,723.0,13.2,70.3,52.0,6.6,158.1,71.0,0.01
0.21,0.0,601.0,11.3,62.8,58.0,4.9,116.6,57.6,0.5
0.19,0.0,608.0,13.8,63.0,70.0,2.3,55.7,64.2,1.0
0.22,0.01,576.0,8.2,60.4,45.0,5.4,128.6,60.2,0.25
0.27,0.0,630.0,10.6,75.9,35.0,6.3,152.4,68.6,0.2
0.27,0.0,672.0,3.2,65.6,15.0,5.5,131.6,61.9,0.01
0.24,0.0,632.0,6.2,65.2,29.0,4.6,110.0,60.7,1.0
0.24,0.0,612.0,8.5,64.8,41.0,4.9,116.8,61.5,0.1
0.1,0.0,318.0,14.4,62.2,75.0,3.4,81.6,68.6,0.25
0.06,0.0,184.0,10.5,58.3,63.0,3.6,85.5,63.4,0.2
0.06,0.0,184.0,10.5,58.3,63.0,3.6,85.5,63.4,0.1
0.07,0.0,211.0,10.7,57.6,66.0,4.7,112.1,62.3,0.1
0.07,0.0,211.0,10.7,57.6,66.0,4.7,112.1,62.3,0.2
0.06,0.0,184.0,10.5,58.3,63.0,3.6,85.5,63.4,0.1
0.12,0.01,419.0,12.5,55.8,82.0,4.1,97.6,61.6,0.01
0.25,0.0,583.0,9.3,70.3,37.0,7.0,169.0,68.6,1.0
0.15,0.0,455.0,10.6,59.3,61.0,5.7,137.6,62.5,0.1
0.12,0.01,419.0,12.5,55.8,82.0,4.1,97.6,61.6,0.01
0.09,0.0,297.0,10.6,55.6,70.0,4.1,97.8,60.5,4.0
0.08,0.0,258.0,11.7,59.3,68.0,4.4,106.0,62.7,0.1
0.09,0.0,298.0,10.5,56.4,68.0,3.1,74.0,67.1,1.5
